BBL,LotArea_12
2027630353,5000
2032300035,8505
2027360123,17530
2029340013,7913
2027610208,14000
2027690090,5000
2026400024,10570
2027660114,5000
2038210014,5150
2027770449,5000
2027690084,10000
2027720009,21400
2037450005,7630
2038380187,34125
2034570064,7000
2024890060,77188
2030300001,10244
2030530028,21425
2028720151,5400
2031070044,11459
2029850017,32900
2036440001,141623
2038200026,5665
2027680083,10000
2027270045,16000
2028550001,5516
2027680382,10000
2027130019,10246
2026540001,64645
2024200120,121500
2027360266,20091
2027680237,15000
2027660206,5000
2037990078,5150
2027720062,5000
2027230054,17115
2032140044,5300
2037990050,5150
2025140070,5034
2041150001,20000
2025810018,5000
2029310030,5612
2025620049,11081
2027720245,34129
2027620280,30780
2043260021,5521
2040910046,10504
2022600001,15000
2023490046,29200
2037370042,10024
2027150020,11682
2040230053,5000
2025510068,15714
2025690032,29452
2037960035,7794
2043180057,8500
2042460005,5000
2023880025,9339
2037120001,14252
2030650029,5955
2030770004,7509
2027740296,5083
2027290080,5000
2027620072,17750
2026230058,5175
2027660204,10000
2024320010,16269
2027360202,13101
2031990106,12674
2034360012,40600
2036820038,19536
2042420040,5000
2027360194,21050
2024890001,9807
2026430001,41166
2031740034,6400
2027750073,10000
2025770020,5000
2026990060,5174
2023170053,5220
2038270086,5307
2039790001,13575
2040790028,5032
2029380059,8254
2025910023,12500
2027290006,18788
2029770378,10186
2041650046,5000
2040890001,5691
2035250007,5000
2035130044,24000
2025650008,40934
2025960060,35492
2026677501,30050
2025700010,18443
2040040017,19517
2039640056,10619
2027430006,26300
2025960020,35681
2030430067,21434
2029250040,5505
2027920037,5225
2031430176,8057
2023540070,27313
2034600017,5500
2040770006,45800
2042430048,5000
2038020006,9455
2024840005,11503
2026150031,5260
2029330010,8889
2025820064,20007
2038670049,5000
2030410038,5031
2028660077,5000
2026960121,14218
2022940043,24771
2023170013,5000
2036480019,28500
2034590010,5500
2035790001,484652
2031190016,7570
2027750027,5000
2040420222,20750
2039840030,32480
2040640012,5000
2043130001,7910
2035960001,23250
2024580118,20282
2025570049,28700
2038120075,5124
2037720005,5520
2034710015,5000
2028890041,5035
2028800220,5000
2027650127,10000
2027740290,10000
2027720035,5000
2023190055,276538
2038270158,18308
2027360080,10017
2041310049,5000
2024960058,11000
2030230026,7425
