puma,boro,nabes,displacementriskindex,populationvulnerability,housingconditions,marketpressure,percentnotwhite,percentbelow2xpovertyrate,percentbelow2xpovertyrate_moe,limitedenglishproficiency,limitedenglishproficiency_moe,percentrentburdened,percentrentburdened_moe,percentunitswith3plusmaintenancedeficiencies,percentunitswith3plusmaintenancedeficiencies_moe,percentunitswithnoincomerestrictions,hny_nycha,totunts_20,percentrenters,percentrenters_moe,percentunitswithrentregulations,percentunitswithrentregulations_moe,changeinrents_moe,salespriceappreciation,changeinpopulationwithbachelorsdegrees,changeinpopulationwithbachelorsdegrees_moe,NU_lots,NU_airRightTrans,NU_mergedLots,NU_uniqueOwners,NU_landmark,NU_HistDist,NU_rentSt_12,NU_permits_12,NU_permits_22,UnitsRes_12,UnitsRes_22,NU_pass_screen,NU_softsites_12,NU_res_lots_12,NU_unitResInc,NU_unitResDec,NU_rec_dev,NU_rec_dev_2,NU_rec_dev_is_soft_site,NU_rec_dev_not_soft_site,NU_rec_dev_is_rent_st,NU_rec_dev_not_rent_st,PERC_unitResInc,PERC_unitResDec,PERC_landmark,PERC_HistDist,PERC_rentSt_12,PERC_rec_dev,PERC_rec_dev_2,PERC_assesedRatioInc,PERC_recentAlter,PERC_screen_passed,fail_initial_screen,PERC_screen_failed,PERC_softsites,PERC_rec_dev_not_soft_site,long,lat
03701,Bronx,"Riverdale, Fieldston & Kingsbridge",49,57,67,4,70,35,2,22,2,29,3,20,7,95,875,16538,69,2,79,7,86,2,-2,11,5033,52,141,4328,15,329,490,169,153,46531,47433,949,803,4055,94,57,150,185,64,86,1,149,2,1,0,7,12,3,4,80,7,19,4084,81,16,57,-73.90923411775009,40.891633361935526
03702,Bronx,"Wakefield, Williamsbridge & Woodlawn",47,58,57,3,93,37,2,9,1,36,3,19,7,95,1078,21705,62,2,40,10,72,2,12,13,19067,127,206,17445,3,0,466,423,119,49108,50813,1336,1164,17160,277,102,257,306,76,181,0,257,1,1,0,0,3,1,2,94,2,7,17731,93,6,70,-73.86170656395811,40.88994235114302
03703,Bronx,"Co-op City, Pelham Bay & Schuylerville",29,40,26,3,86,31,3,12,2,26,5,10,4,65,6912,17909,54,3,32,15,94,2,26,22,14727,79,170,13100,5,0,209,234,76,47427,47115,1386,1199,13023,138,79,194,241,76,118,1,193,1,1,0,0,2,1,2,93,2,9,13341,91,8,61,-73.8009862301834,40.846283064054624
03704,Bronx,"Pelham Parkway, Morris Park & Laconia",52,63,62,5,79,38,3,22,3,31,4,20,5,93,974,12282,68,3,47,11,99,3,6,16,13538,76,112,12536,3,0,428,170,87,71686,56071,974,859,12119,161,103,137,171,47,90,1,136,1,1,0,0,4,1,1,94,2,7,12564,93,6,66,-73.85255007095186,40.856173910128604
03705,Bronx,"Belmont, Crotona Park East & East Tremont",78,86,70,23,96,65,3,25,2,36,4,21,6,71,4068,13902,94,1,46,10,92,2,78,45,7945,142,405,6208,11,54,1187,307,183,59033,65111,865,594,5691,281,150,468,527,113,355,7,461,4,2,0,1,21,6,7,70,6,11,7080,89,7,76,-73.88764387338422,40.845389546251546
03706,Bronx,"Bedford Park, Fordham North & Norwood",92,99,79,21,94,58,3,34,3,36,3,29,6,93,1174,16875,93,1,88,6,57,3,14,20,3427,22,119,3034,8,9,1013,146,128,45583,48086,468,359,2736,139,77,156,162,43,113,3,153,4,2,0,0,37,5,5,74,6,14,2959,86,10,72,-73.89100687482534,40.87030416298538
03707,Bronx,"Morris Heights, Fordham South & Mount Hope",89,100,76,11,98,62,3,33,2,39,3,34,7,85,2745,17518,96,1,77,7,56,4,24,24,3708,33,157,3105,7,35,912,111,105,58248,54376,471,291,2844,119,75,179,186,37,142,2,177,3,2,0,1,32,5,5,78,5,13,3237,87,8,79,-73.90975336150922,40.852218796196674
03708,Bronx,"Concourse, Highbridge & Mount Eden",90,100,74,18,98,60,3,34,2,38,3,26,6,82,3150,18386,94,1,88,5,54,3,56,31,3290,18,124,2571,11,110,862,169,133,48004,54042,547,351,2300,121,42,155,177,71,84,1,154,4,1,0,3,37,5,5,78,7,17,2743,83,11,54,-73.92152084641708,40.83248620006059
03709,Bronx,"Castle Hill, Clason Point & Parkchester",63,75,63,8,97,50,3,22,3,32,4,15,4,80,3595,15280,79,2,44,8,70,3,19,22,12054,86,114,10745,1,0,476,218,84,78608,65979,869,690,10576,146,93,168,183,67,101,9,159,1,1,0,0,5,1,2,91,3,7,11185,93,6,60,-73.8576604722243,40.821654376618085
03710,Bronx,"Hunts Point, Longwood & Melrose",89,93,66,46,98,66,3,27,3,34,3,24,6,62,6377,15450,92,1,49,11,101,3,63,39,6998,67,252,5386,13,299,1032,235,190,53378,59472,1293,980,4426,194,82,296,339,98,198,6,290,3,1,0,4,23,4,5,75,6,18,5705,82,14,67,-73.89603678474876,40.80672663797615
